objectid,parentid,object_location,image_small,image_thumb,title,Location,member of,creator,date,image description,object_transcript,subject,source,original,type,format,display_template,Publisher,Pages,Shelf Locator,OCLC Number,identifier,description,FHL Connection,language,rightsstatement,rights,latitude,longitude
qr31,qr27,/objects/rosegardenplots01.png,/objects/small/rosegardenplots01_sm.jpg,/objects/thumbs/rosegardenplots01_th.jpg,M10B Rose Garden Overview,,Swarthmore College Archives,Scott Arboretum Records,~1983,Top view of Rose Garden plots,,,Swarthmore College Archives,image,Image;StillImage,image/png,image,,,RG 6/S-001 Swarthmore College Archives,,Box 23,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright - United States,,
qr32,qr27,/objects/rosegardenplotssection01.png,/objects/small/rosegardenplotssection01_sm.jpg,/objects/thumbs/rosegardenplotssection01_th.jpg,"M10B-01 RG: NW outer bed, Rose I Southern End",,Swarthmore College Archives,Scott Arboretum Records,~1983,Small section of a Rose Garden plot with notation of rose types planted,,,Swarthmore College Archives,image,Image;StillImage,image/png,image,,,RG 6/S-001 Swarthmore College Archives,,Box 23,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright - United States,,
qr33,,/objects/aster01.png,/objects/small/aster01_sm.jpg,/objects/thumbs/aster01_th.jpg,Climbing Aster (Ampelaster carolinianus),Beardsley,,,,,,Botanical illustration; Flowers in art; Asters; Women artists;  Botanical illustration; Ann Fothergill; Fothergill; Ampelaster carolinianus,,,record,compound_object,compound_object,,,,,,"Graceanna Lewis is a favorite of Friends Historical Library staff and maybe we can interest you in reading more about her. She was a Quaker Ornithologist, botanist and activist from Chester County. She joined both the Academy of Natural Sciences and the Delaware County Institute of Science, scientific societies that gave Lewis access to scientific networks. She published papers, gave lectures, and exhibited her research. As with other women scientists of this time period, her lack of degree meant that she was considered an “amateur.” Sadly the work of women who practiced science by mingling it with everyday life, art, and literature became less visible as academia defined stricter representations of science. In 1885, Lewis retired to Media, just down the road from the College, which was and is the home of the Delaware County Institute of Science. Lewis is mentioned in this tour as a natural scientist, but others know her better as an abolitionist and activist for women’s suffrage. Letters in the Friends Historical Library document her experience working in the Underground Railroad. Lewis illustrated many plants and flowers, including various types of asters, which we can see here.","Lewis-Fussell Family Papers, RG5-087 (And Graceanna’s sketches and letters are available online!)",,,,39.90566863,-75.35569228
qr34,qr33,/objects/aster01.png,/objects/small/aster01_sm.jpg,/objects/thumbs/aster01_th.jpg,Sketch of Aster,,Lewis-Fussell Family Papers In Her Own Right,"Lewis, Graceanna",1850/1912,"Illustration of an aster plant, most likely by Graceanna Lewis",,,Swarthmore College Friends Historical Library,image,Image;StillImage,image/png,image,,,"Lewis-Fussel Family Papers, SFHL-RG5-087",,A00185740,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright - United States,,
qr35,qr33,/objects/aster02.png,/objects/small/aster02_sm.jpg,/objects/thumbs/aster02_th.jpg,Aster illustration,,Friends Historical Library of Swarthmore College,Ann Fothergill,1887,"A sketch of white Aster flowers illustrated by Anne Fothergill alongside other sketches within an album with watercolors of plants. Initialled ""AF"" [Ann Fothergill], many named in latin with location and date",,,Swarthmore College Friends Historical Library,image,Image;StillImage,image/png,image,,,"Fothergill Family Papers, SFHL-RG5-270",,Box: 2,,,,,,,
qr36,,/objects/redmaple01.png,/objects/small/redmaple01_sm.jpg,/objects/thumbs/redmaple01_th.jpg,Red Maple (Acer rubrum),Singer Hall,,,,,,Botanical illustration; Trees in art;  Women artists; Samuel Copeland Palmer; Acer rubrum,,,record,compound_object,compound_object,,,,,,"Humphry Marshall, discussed earlier in this tour, also wrote about the Red Maple in his book, Arbustrum Americanum. Writing about about the ‘Science of Botany’, Marshall said ‘it is an object highly deserving the attention of Mankind in general… but in a particular manner of the inhabitants of this Commonwealth’. ‘Those who are conversant in trade well know the continual enormous expence we are at in purchasing foreign Teas, Drugs, Dye-Stuffs, &c. The diminution of this, ought to be the care and concern of every friend to his Country’s welfare. And we presume it will appear evident, that the most eligible and obvious means may lead to this delightful science…’  The Red Maple itself 'grows to a pretty large size in rich soil... There is a variety of this with yellowish flowers and seeds, which is, I believe, the most common kind in Pennsylvania'. (p.3) (Citation: Marshall, H. (1785). Arbustrum Americanum: the American grove: or, An alphabetical catalogue of forest trees and shrubs, natives of the American United States... Joseph Crukshank)",Humphry Marshall,,,,39.9073762,-75.35354731
qr37,qr36,/objects/mapleleafchart01.png,/objects/small/mapleleafchart01_sm.jpg,/objects/thumbs/mapleleafchart01_th.jpg,Red Maple Leaf Chart,,Graceanna Lewis leaf charts,"Lewis, Graceanna",1850/1912,Poster detailing maple leaves,,,Swarthmore College Friends Historical Library,text,Image;StillImage,image/png,image,,,"Lewis-Fussell Family Papers, SFHL-RG5-087",,A00185904_6,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr38,qr36,/objects/redmaple01.png,/objects/small/redmaple01_sm.jpg,/objects/thumbs/redmaple01_th.jpg,Red maple illustration ,,Friends Historical Library of Swarthmore College,"Palmer, Samuel Copeland",1951,A sketch of a Red maple branch  illustrated by Professor Samuel Palmer (1874-1964) as part of a collection of watercolors gifted to the College in 1952.,,,Department of Biology Bone Room,image,Image;StillImage,image/png,image,,,,,,,,,,,,
qr39,,/objects/viburnum01.png,/objects/small/viburnum01_sm.jpg,/objects/thumbs/viburnum01_th.jpg,Meal Tree / Viburnum (Viburnum dentatum),Singer Hall,,,,,,Botanical illustration; Samuel Copeland Palmer; Humphrey Marshall; Book; Viburnum dentatum,,,record,compound_object,compound_object,,,,,,"Priscilla Wakefield was an English Quaker philanthropist and author who wrote books on feminism, economics, and science. From her 1796 book, An introduction to Botany, Wakefield wrote about the Meal Tree, or what we more commonly call viburnum. She wrote that its blossom with 'a small cup superior to the seed-vessel, with five teeth; one bell-shaped petal, with five hollow clefts turned back; its fruit a roundish berry of one cell, concealing a single seed as hard as a bone'. From her 1798 Reflections on the Present Condition of the Female Sex, ‘There are many branches of science, as well as useful occupations, in which women may employ their time and their talents, beneficially to themselves and to the community, without destroying the particular characteristic of the sex… And here the author may be allowed to express her hope, that among the numbers of the female world, who appear to be satisfied with their own inferiority, many require only to be awakened to a true sense of their real consequence…’ She wrote that women could study many subjects, including botany. To place Wakefield in context, both she and Mary Wollstonecraft recommended education to enable women to be financially self-supporting. They also agreed that women and men should be paid equal wages for equal work. They differed in how to achieve equal rights, however, with Wajefield preferring a more moderate approach to Wollstonecraft. (Citation: Wakefield, Priscilla. An Introduction to Botany, in a Series of Familiar Letters. Printed for E. Newberry, [etc.], 1796 and Wakefield, Priscilla. Reflections on the Present Condition of the Female Sex, with Suggestions for Its Improvement. 1798)","Wakefield, Priscilla. An Introduction to Botany, in a Series of Familiar Letters: With Illustrative Engravings. London: Printed for E. Newberry, [etc.], 1796.",,,,39.9072608,-75.35505685
qr40,qr39,/objects/viburnum01.png,/objects/small/viburnum01_sm.jpg,/objects/thumbs/viburnum01_th.jpg,Viburnum illustration,,Friends Historical Library of Swarthmore College,"Palmer, Samuel Copeland",1951,A sketch of an Arrowwood viburnum shrub illustrated by Professor Samuel Palmer (1874-1964) as part of a collection of watercolors gifted to the College in 1952.,,,Department of Biology Bone Room,image,Image;StillImage,image/png,image,,,,,,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
